,BlackRock Multi,iShares iBoxx,BlackRock EDF,iShares 20+,Vanguard EIF,Cash
15/11/2018,8.369139671,66.91333771,12.95359898,104.0866547,26.72550583,22.24214609
,,,,,,
16/11/2018,8.377129555,66.71307373,12.99961472,104.6890488,26.87719727,22.2434858
,,,,,,
19/11/2018,8.345158577,66.50478363,12.93058968,104.9811401,26.76885223,22.2475054
,,,,,,
20/11/2018,8.281209946,66.29645538,12.68325233,105.0176239,26.33546066,22.24884542
,,,,,,
21/11/2018,8.30519104,66.63292694,12.75227547,104.9811401,26.32823944,22.25018553
,,,,,,
23/11/2018,8.289205551,66.26441956,12.66599846,105.0906372,26.1693306,22.25286599
,,,,,,
26/11/2018,8.313185692,66.57687378,12.82130241,104.8533173,26.43657875,22.25688728
,,,,,,
27/11/2018,8.313185692,66.54481506,12.86424732,104.9719925,26.5449295,22.25822788
,,,,,,
28/11/2018,8.353153229,67.09761047,13.05012608,104.4608688,26.89886284,22.25956855
,,,,,,
29/11/2018,8.353153229,67.11363983,13.03089714,104.8716049,26.89163971,22.2609093
,,,,,,
30/11/2018,8.390890121,66.97743988,13.07576752,105.2640686,27.1805706,22.26225014
,,,,,,
03/12/2018,8.431035995,67.44100189,13.17191029,106.0114975,27.31780434,22.26627313
,,,,,,
04/12/2018,8.350743294,67.02251434,12.85142612,107.7862625,26.64605522,22.26760819
,,,,,,
06/12/2018,8.334684372,66.78913879,12.69118404,108.1247711,26.50881386,22.27029075
,,,,,,
07/12/2018,8.302567482,66.66034698,12.51171303,108.3260422,26.11154938,22.27163215
,,,,,,
10/12/2018,8.278476715,66.70862579,12.44761753,108.774292,26.07543182,22.27563854
,,,,,,
11/12/2018,8.278476715,66.82936096,12.421978,108.7559967,26.02487183,22.27698026
,,,,,,
12/12/2018,8.294536591,67.04664612,12.48607349,108.2711411,26.13321877,22.27831597
,,,,,,
13/12/2018,8.310596466,67.20763397,12.49248409,108.0149841,26.13321877,22.27965175
,,,,,,
14/12/2018,8.27044487,66.92594147,12.30660248,108.3900757,25.6998291,22.28098761
,,,,,,
17/12/2018,8.222265244,66.4913559,12.11431313,109.0213089,25.23032761,22.28499569
,,,,,,
18/12/2018,8.206208229,66.37090302,12.04380703,109.6742172,25.1079998,22.28633797
,,,,,,
19/12/2018,8.174090385,65.7724762,11.96047878,111.1230698,24.80219078,22.28768034
,,,,,,
20/12/2018,8.12591362,65.19836426,11.82587719,110.7196274,24.52774239,22.28902279
,,,,,,
21/12/2018,8.077737808,64.87493896,11.62717533,110.7012634,24.20624542,22.29048736
,,,,,,
24/12/2018,8.021533012,64.38974762,11.36438084,111.2514725,23.53188705,22.29488167
,,,,,,
26/12/2018,8.109854698,65.47328949,11.78741741,110.0593872,24.44148445,22.29781169
,,,,,,
27/12/2018,8.117883682,65.43289185,11.84510803,110.0776749,24.66888237,22.29927684
,,,,,,
28/12/2018,8.117883682,65.52990723,11.84510803,111.0039063,24.66104126,22.30074209
,,,,,,
31/12/2018,8.180814743,65.57843018,11.94766045,111.425705,24.85708046,22.30513842
,,,,,,
02/01/2019,8.180814743,65.48947906,11.96688938,112.0125961,24.86492538,22.30806979
,,,,,,
03/01/2019,8.164682388,65.5218277,11.81305885,113.2872238,24.41012383,22.30953562
,,,,,,
04/01/2019,8.24535656,66.62153625,12.14635944,111.975914,25.115839,22.31100154
,,,,,,
07/01/2019,8.277629852,67.26843262,12.17199993,111.6457901,25.17072868,22.31539989
,,,,,,
08/01/2019,8.317966461,67.70509338,12.24250698,111.3523407,25.40596962,22.3168662
,,,,,,
09/01/2019,8.350237846,67.78595734,12.30660248,111.178093,25.44517899,22.31833261
,,,,,,
10/01/2019,8.358309746,68.05280304,12.33865261,110.4628296,25.57064438,22.31979911
,,,,,,
11/01/2019,8.358309746,67.83446503,12.35146904,110.8938599,25.59416389,22.32126571
,,,,,,
14/01/2019,8.342173576,67.61613464,12.31942368,110.4812012,25.47654724,22.32566608
,,,,,,
15/01/2019,8.366377831,67.84254456,12.38992786,110.0776749,25.61768723,22.32713307
,,,,,,
16/01/2019,8.382509232,67.94767761,12.45402527,110.1877441,25.62552834,22.32860015
,,,,,,
17/01/2019,8.398648262,68.13365936,12.51812267,110.2152634,25.84508705,22.33006733
,,,,,,
18/01/2019,8.422851563,68.32770538,12.65272522,109.6375732,26.15090179,22.3315346
,,,,,,
22/01/2019,8.39057827,67.87487793,12.51812267,110.3803329,25.86077118,22.33740466
,,,,,,
23/01/2019,8.39057827,68.01235199,12.54376316,110.3344727,25.95486641,22.33887241
,,,,,,
24/01/2019,8.398648262,68.08512878,12.53094196,111.0588989,25.96271133,22.34034026
,,,,,,
25/01/2019,8.422851563,68.25495148,12.63349724,110.5270386,26.04112244,22.34180821
,,,,,,
28/01/2019,8.414782524,68.1497879,12.55017185,110.4169693,25.88429451,22.34621264
,,,,,,
29/01/2019,8.430916786,68.10942841,12.56939888,110.9763565,25.96271133,22.34768097
,,,,,,
30/01/2019,8.463189125,68.65115356,12.71682644,110.8938599,26.1665802,22.3491494
,,,,,,
31/01/2019,8.531244278,68.82093048,12.78092194,111.8475418,26.37829781,22.35061793
,,,,,,
01/02/2019,8.523145676,68.78764343,12.80014992,111.1720047,26.48807716,22.35208655
,,,,,,
04/02/2019,8.531244278,68.95011902,12.86424732,110.675705,26.57433319,22.356493
,,,,,,
